CMDLINE othello -g
MEM 0.593750 1775762353.8788
MEM 27.117188 1775762353.9815
MEM 37.257812 1775762354.0834
MEM 66.390625 1775762354.1864
MEM 83.003906 1775762354.2890
MEM 83.003906 1775762354.3909
MEM 83.003906 1775762354.4930
MEM 83.003906 1775762354.5957
MEM 83.003906 1775762354.6976
MEM 83.003906 1775762354.7994
MEM 83.003906 1775762354.9013
MEM 83.003906 1775762355.0031
MEM 83.003906 1775762355.1050
MEM 83.003906 1775762355.2066
MEM 83.003906 1775762355.3086
MEM 83.003906 1775762355.4103
MEM 83.003906 1775762355.5123
MEM 83.003906 1775762355.6140
MEM 83.003906 1775762355.7159
MEM 83.003906 1775762355.8181
MEM 83.003906 1775762355.9200
MEM 83.003906 1775762356.0220
MEM 83.003906 1775762356.1248
MEM 83.003906 1775762356.2272
MEM 83.003906 1775762356.3293
MEM 83.003906 1775762356.4318
MEM 83.003906 1775762356.5340
MEM 83.003906 1775762356.6359
MEM 83.003906 1775762356.7379
MEM 83.003906 1775762356.8410
MEM 83.003906 1775762356.9436
MEM 83.003906 1775762357.0465
MEM 83.003906 1775762357.1492
MEM 83.003906 1775762357.2520
MEM 83.003906 1775762357.3542
MEM 83.226562 1775762357.4566
MEM 83.226562 1775762357.5593
MEM 83.226562 1775762357.6620
MEM 83.226562 1775762357.7650
MEM 83.226562 1775762357.8679
MEM 83.226562 1775762357.9705
MEM 83.226562 1775762358.0730
MEM 83.226562 1775762358.1756
MEM 83.582031 1775762358.2785
MEM 88.320312 1775762358.3814
MEM 85.390625 1775762358.4836
MEM 85.410156 1775762358.5862
MEM 85.410156 1775762358.6885
MEM 85.410156 1775762358.7912
MEM 85.410156 1775762358.8938
MEM 85.410156 1775762358.9959
MEM 85.410156 1775762359.0986
MEM 85.539062 1775762359.2010
MEM 85.539062 1775762359.3037
MEM 85.539062 1775762359.4066
MEM 85.539062 1775762359.5089
MEM 85.539062 1775762359.6110
MEM 85.539062 1775762359.7135
MEM 85.539062 1775762359.8156
MEM 85.539062 1775762359.9190
MEM 85.410156 1775762360.0215
MEM 85.410156 1775762360.1239
MEM 85.410156 1775762360.2261
MEM 85.410156 1775762360.3285
MEM 85.410156 1775762360.4303
MEM 85.410156 1775762360.5321
MEM 85.410156 1775762360.6342
MEM 85.410156 1775762360.7360
MEM 85.410156 1775762360.8385
MEM 85.410156 1775762360.9403
MEM 85.410156 1775762361.0424
MEM 85.410156 1775762361.1445
MEM 85.410156 1775762361.2466
MEM 85.410156 1775762361.3491
MEM 86.570312 1775762361.4514
MEM 85.410156 1775762361.5534
MEM 85.511719 1775762361.6551
MEM 85.511719 1775762361.7574
MEM 85.511719 1775762361.8593
MEM 85.511719 1775762361.9612
MEM 85.511719 1775762362.0633
MEM 85.511719 1775762362.1651
MEM 85.511719 1775762362.2669
MEM 85.511719 1775762362.3685
MEM 85.410156 1775762362.4702
MEM 86.570312 1775762362.5722
MEM 85.410156 1775762362.6741
MEM 85.410156 1775762362.7760
MEM 85.410156 1775762362.8782
MEM 85.511719 1775762362.9803
MEM 85.511719 1775762363.0825
MEM 85.511719 1775762363.1846
MEM 85.511719 1775762363.2864
MEM 85.511719 1775762363.3882
MEM 85.511719 1775762363.4901
MEM 85.511719 1775762363.5919
MEM 85.511719 1775762363.6939
MEM 85.511719 1775762363.7956
MEM 86.183594 1775762363.8978
MEM 85.410156 1775762363.9996
MEM 85.410156 1775762364.1013
MEM 85.410156 1775762364.2031
MEM 85.410156 1775762364.3050
MEM 85.410156 1775762364.4067
MEM 85.410156 1775762364.5083
MEM 85.410156 1775762364.6100
MEM 85.410156 1775762364.7120
MEM 85.410156 1775762364.8139
MEM 85.410156 1775762364.9159
MEM 85.410156 1775762365.0176
MEM 85.410156 1775762365.1194
MEM 85.410156 1775762365.2212
MEM 85.410156 1775762365.3233
MEM 85.539062 1775762365.4251
MEM 85.539062 1775762365.5267
MEM 85.539062 1775762365.6287
MEM 85.539062 1775762365.7304
MEM 85.539062 1775762365.8319
MEM 85.539062 1775762365.9338
MEM 85.539062 1775762366.0354
MEM 85.539062 1775762366.1371
MEM 85.539062 1775762366.2388
MEM 85.441406 1775762366.3407
MEM 85.441406 1775762366.4425
MEM 85.441406 1775762366.5442
MEM 85.441406 1775762366.6460
MEM 85.445312 1775762366.7481
MEM 85.445312 1775762366.8499
MEM 85.445312 1775762366.9516
MEM 85.445312 1775762367.0533
MEM 108.117188 1775762367.1550
MEM 155.484375 1775762367.2567
MEM 224.085938 1775762367.3584
MEM 236.460938 1775762367.4601
MEM 241.242188 1775762367.5618
MEM 342.847656 1775762367.6637
MEM 417.605469 1775762367.7654
MEM 427.726562 1775762367.8669
MEM 435.976562 1775762367.9687
MEM 441.906250 1775762368.0703
MEM 451.652344 1775762368.1719
MEM 458.402344 1775762368.2734
MEM 464.074219 1775762368.3755
MEM 469.359375 1775762368.4770
MEM 477.546875 1775762368.5787
MEM 487.421875 1775762368.6804
MEM 495.648438 1775762368.7821
MEM 507.851562 1775762368.8840
MEM 524.308594 1775762368.9861
MEM 536.167969 1775762369.0877
MEM 552.972656 1775762369.1894
MEM 557.167969 1775762369.2908
MEM 580.472656 1775762369.3928
MEM 582.636719 1775762369.4944
MEM 590.371094 1775762369.5960
MEM 604.382812 1775762369.6976
MEM 616.394531 1775762369.7991
MEM 628.500000 1775762369.9007
MEM 633.343750 1775762370.0023
MEM 634.375000 1775762370.1041
MEM 634.375000 1775762370.2060
MEM 634.375000 1775762370.3076
MEM 634.375000 1775762370.4093
MEM 635.250000 1775762370.5110
MEM 635.250000 1775762370.6132
MEM 635.250000 1775762370.7153
MEM 633.531250 1775762370.8169
MEM 636.242188 1775762370.9185
MEM 640.621094 1775762371.0201
MEM 652.187500 1775762371.1218
MEM 667.968750 1775762371.2235
MEM 674.601562 1775762371.3252
MEM 679.480469 1775762371.4269
MEM 681.855469 1775762371.5287
MEM 686.464844 1775762371.6304
MEM 703.511719 1775762371.7322
MEM 727.570312 1775762371.8354
MEM 746.441406 1775762371.9372
MEM 781.312500 1775762372.0389
MEM 806.781250 1775762372.1406
MEM 781.050781 1775762372.2425
MEM 781.050781 1775762372.3442
MEM 781.050781 1775762372.4463
MEM 781.050781 1775762372.5481
MEM 781.050781 1775762372.6498
MEM 781.050781 1775762372.7515
MEM 781.050781 1775762372.8532
MEM 781.050781 1775762372.9549
MEM 781.050781 1775762373.0566
MEM 781.050781 1775762373.1584
MEM 781.050781 1775762373.2600
MEM 781.050781 1775762373.3616
MEM 781.050781 1775762373.4634
MEM 781.050781 1775762373.5651
MEM 783.628906 1775762373.6666
MEM 783.132812 1775762373.7683
MEM 792.902344 1775762373.8699
MEM 821.429688 1775762373.9718
MEM 849.894531 1775762374.0737
MEM 889.199219 1775762374.1757
MEM 912.187500 1775762374.2775
MEM 916.460938 1775762374.3792
MEM 920.351562 1775762374.4809
MEM 923.429688 1775762374.5827
MEM 924.996094 1775762374.6844
MEM 928.632812 1775762374.7862
MEM 928.742188 1775762374.8880
MEM 934.914062 1775762374.9896
MEM 931.296875 1775762375.0915
MEM 931.664062 1775762375.1932
MEM 932.457031 1775762375.2949
MEM 932.964844 1775762375.3966
MEM 940.769531 1775762375.4983
MEM 938.773438 1775762375.6002
MEM 938.785156 1775762375.7019
MEM 936.785156 1775762375.8038
MEM 877.660156 1775762375.9055
MEM 875.585938 1775762376.0075
MEM 875.726562 1775762376.1092
MEM 875.734375 1775762376.2110
MEM 880.144531 1775762376.3132
MEM 877.769531 1775762376.4157
MEM 877.769531 1775762376.5174
MEM 875.914062 1775762376.6192
MEM 875.941406 1775762376.7209
MEM 882.917969 1775762376.8229
MEM 878.917969 1775762376.9247
MEM 880.269531 1775762377.0265
MEM 876.917969 1775762377.1282
MEM 880.933594 1775762377.2301
MEM 881.480469 1775762377.3319
MEM 877.187500 1775762377.4337
MEM 877.917969 1775762377.5354
MEM 878.847656 1775762377.6372
MEM 879.300781 1775762377.7390
MEM 879.066406 1775762377.8408
MEM 877.683594 1775762377.9434
MEM 875.011719 1775762378.0452
MEM 875.621094 1775762378.1469
MEM 876.402344 1775762378.2486
MEM 880.921875 1775762378.3503
MEM 880.347656 1775762378.4521
MEM 880.554688 1775762378.5539
MEM 878.773438 1775762378.6560
MEM 878.816406 1775762378.7576
MEM 878.750000 1775762378.8593
MEM 876.839844 1775762378.9610
MEM 876.839844 1775762379.0629
MEM 876.839844 1775762379.1646
MEM 876.839844 1775762379.2662
MEM 876.839844 1775762379.3680
MEM 876.839844 1775762379.4695
MEM 876.839844 1775762379.5712
MEM 876.839844 1775762379.6729
MEM 876.839844 1775762379.7750
MEM 876.839844 1775762379.8776
MEM 879.417969 1775762379.9793
MEM 876.847656 1775762380.0813
MEM 877.550781 1775762380.1832
MEM 884.832031 1775762380.2850
MEM 878.898438 1775762380.3869
MEM 876.898438 1775762380.4886
MEM 881.421875 1775762380.5912
MEM 876.988281 1775762380.6931
MEM 876.988281 1775762380.7948
MEM 881.496094 1775762380.8981
MEM 878.980469 1775762380.9999
MEM 871.582031 1775762381.1016
MEM 873.730469 1775762381.2035
MEM 877.578125 1775762381.3053
MEM 877.160156 1775762381.4071
MEM 875.167969 1775762381.5089
MEM 875.886719 1775762381.6106
MEM 875.890625 1775762381.7121
MEM 882.316406 1775762381.8139
MEM 881.671875 1775762381.9159
MEM 876.550781 1775762382.0177
MEM 876.585938 1775762382.1195
MEM 878.777344 1775762382.2212
MEM 881.000000 1775762382.3231
MEM 879.000000 1775762382.4256
MEM 877.644531 1775762382.5276
MEM 877.019531 1775762382.6294
MEM 883.132812 1775762382.7310
MEM 879.171875 1775762382.8328
MEM 880.523438 1775762382.9346
MEM 873.031250 1775762383.0363
MEM 877.515625 1775762383.1381
MEM 876.378906 1775762383.2410
MEM 879.058594 1775762383.3427
MEM 875.996094 1775762383.4444
MEM 877.023438 1775762383.5462
MEM 883.015625 1775762383.6480
MEM 879.015625 1775762383.7500
MEM 877.015625 1775762383.8517
MEM 877.640625 1775762383.9535
MEM 877.828125 1775762384.0551
MEM 881.867188 1775762384.1568
MEM 880.097656 1775762384.2594
MEM 878.105469 1775762384.3611
MEM 880.039062 1775762384.4628
MEM 878.105469 1775762384.5646
MEM 884.089844 1775762384.6663
MEM 880.996094 1775762384.7680
MEM 870.988281 1775762384.8697
MEM 874.570312 1775762384.9712
MEM 874.589844 1775762385.0732
MEM 876.523438 1775762385.1748
MEM 874.589844 1775762385.2768
MEM 874.589844 1775762385.3784
MEM 874.589844 1775762385.4806
MEM 874.589844 1775762385.5823
MEM 874.589844 1775762385.6845
MEM 874.589844 1775762385.7862
MEM 874.589844 1775762385.8879
MEM 874.589844 1775762385.9895
MEM 874.601562 1775762386.0916
MEM 874.601562 1775762386.1939
MEM 874.601562 1775762386.2956
MEM 874.601562 1775762386.3974
MEM 874.601562 1775762386.4992
MEM 874.601562 1775762386.6008
MEM 874.617188 1775762386.7028
MEM 875.902344 1775762386.8045
MEM 880.316406 1775762386.9063
MEM 876.378906 1775762387.0081
MEM 876.507812 1775762387.1097
MEM 876.503906 1775762387.2113
MEM 879.855469 1775762387.3133
MEM 876.929688 1775762387.4149
MEM 879.398438 1775762387.5170
MEM 880.937500 1775762387.6189
MEM 878.937500 1775762387.7206
MEM 879.558594 1775762387.8227
MEM 877.558594 1775762387.9243
MEM 881.593750 1775762388.0263
MEM 883.550781 1775762388.1282
MEM 883.097656 1775762388.2299
MEM 879.550781 1775762388.3316
MEM 878.234375 1775762388.4333
MEM 879.394531 1775762388.5350
MEM 874.273438 1775762388.6368
MEM 877.007812 1775762388.7386
MEM 876.941406 1775762388.8406
MEM 874.941406 1775762388.9424
MEM 874.949219 1775762389.0441
MEM 879.363281 1775762389.1463
MEM 882.019531 1775762389.2481
MEM 880.035156 1775762389.3501
MEM 876.410156 1775762389.4516
MEM 878.343750 1775762389.5540
MEM 876.410156 1775762389.6557
MEM 878.429688 1775762389.7574
MEM 883.046875 1775762389.8596
MEM 878.406250 1775762389.9612
MEM 876.417969 1775762390.0629
MEM 876.417969 1775762390.1646
MEM 883.648438 1775762390.2664
MEM 878.425781 1775762390.3685
MEM 873.476562 1775762390.4701
MEM 874.832031 1775762390.5719
MEM 874.992188 1775762390.6737
MEM 881.671875 1775762390.7757
MEM 879.687500 1775762390.8782
MEM 877.703125 1775762390.9798
MEM 875.707031 1775762391.0815
MEM 881.699219 1775762391.1833
MEM 882.875000 1775762391.2849
MEM 879.250000 1775762391.3867
MEM 877.683594 1775762391.4883
MEM 878.324219 1775762391.5900
MEM 877.894531 1775762391.6918
MEM 877.984375 1775762391.7935
MEM 877.984375 1775762391.8952
MEM 877.984375 1775762391.9969
MEM 877.984375 1775762392.0988
MEM 877.984375 1775762392.2011
MEM 881.078125 1775762392.3028
MEM 877.984375 1775762392.4046
MEM 877.984375 1775762392.5063
MEM 884.183594 1775762392.6082
MEM 884.238281 1775762392.7101
MEM 882.699219 1775762392.8122
MEM 878.269531 1775762392.9141
MEM 878.300781 1775762393.0157
MEM 885.187500 1775762393.1176
MEM 884.285156 1775762393.2192
MEM 870.953125 1775762393.3210
MEM 873.882812 1775762393.4230
MEM 878.355469 1775762393.5246
MEM 876.406250 1775762393.6263
MEM 874.460938 1775762393.7280
MEM 876.628906 1775762393.8298
MEM 878.820312 1775762393.9316
MEM 879.941406 1775762394.0333
MEM 878.457031 1775762394.1351
MEM 876.621094 1775762394.2369
MEM 876.718750 1775762394.3386
MEM 880.726562 1775762394.4405
MEM 878.734375 1775762394.5423
MEM 877.199219 1775762394.6440
MEM 877.191406 1775762394.7458
MEM 883.183594 1775762394.8479
